"team_selection1","team_position","team_name","team_points","team_played","team_win","team_draw","team_loss","team_goals_for","team_goals_against"
"1976–77 Bundesliga","13","1. FC Kaiserslautern","29","34","12","5","17","53","59"
"1976–77 Bundesliga","14","1. FC Saarbrücken","29","34","9","11","14","43","55"
"1976–77 Bundesliga","15","VfL Bochum","29","34","11","7","16","47","62"
"1976–77 Bundesliga","16","Karlsruher SC","28","34","9","10","15","53","75"
"1976–77 Bundesliga","17","Tennis Borussia Berlin","22","34","6","10","18","47","85"
"1976–77 Bundesliga","18","Rot-Weiss Essen","22","34","7","8","19","49","103"
"1977–78 Bundesliga","1","1. FC Köln","48","34","22","4","8","86","41"
"1977–78 Bundesliga","2","Borussia Mönchengladbach","48","34","20","8","6","86","44"
"1977–78 Bundesliga","3","Hertha BSC","40","34","15","10","9","59","48"
"1977–78 Bundesliga","4","VfB Stuttgart","39","34","17","5","12","58","40"
"1977–78 Bundesliga","5","Fortuna Düsseldorf","39","34","15","9","10","49","36"
"1977–78 Bundesliga","6","MSV Duisburg","37","34","15","7","12","62","59"
"1977–78 Bundesliga","7","Eintracht Frankfurt","36","34","16","4","14","59","52"
"1977–78 Bundesliga","8","1. FC Kaiserslautern","36","34","16","4","14","64","63"
"1977–78 Bundesliga","9","Schalke 04","34","34","14","6","14","47","52"
"1977–78 Bundesliga","10","Hamburger SV","34","34","14","6","14","61","67"
"1977–78 Bundesliga","11","Borussia Dortmund","33","34","14","5","15","57","71"
"1977–78 Bundesliga","12","Bayern Munich","32","34","11","10","13","62","64"
"1977–78 Bundesliga","13","Eintracht Braunschweig","32","34","14","4","16","43","53"
"1977–78 Bundesliga","14","VfL Bochum","31","34","11","9","14","49","51"
"1977–78 Bundesliga","15","Werder Bremen","31","34","13","5","16","48","57"
"1977–78 Bundesliga","16","1860 Munich","22","34","7","8","19","41","60"
"1977–78 Bundesliga","17","1. FC Saarbrücken","22","34","6","10","18","39","70"
"1977–78 Bundesliga","18","FC St. Pauli","18","34","6","6","22","44","86"
"1978–79 Bundesliga","1","Hamburger SV","49","34","21","7","6","78","32"
"1978–79 Bundesliga","2","VfB Stuttgart","48","34","20","8","6","73","34"
"1978–79 Bundesliga","3","1. FC Kaiserslautern","43","34","16","11","7","62","47"
"1978–79 Bundesliga","4","Bayern Munich","40","34","16","8","10","69","46"
"1978–79 Bundesliga","5","Eintracht Frankfurt","39","34","16","7","11","50","49"
"1978–79 Bundesliga","6","1. FC Köln","38","34","13","12","9","55","47"
"1978–79 Bundesliga","7","Fortuna Düsseldorf","37","34","13","11","10","70","59"
"1978–79 Bundesliga","8","VfL Bochum","33","34","10","13","11","47","46"
"1978–79 Bundesliga","9","Eintracht Braunschweig","33","34","10","13","11","50","55"
"1978–79 Bundesliga","10","Borussia Mönchengladbach","32","34","12","8","14","50","53"
"1978–79 Bundesliga","11","Werder Bremen","31","34","10","11","13","48","60"
"1978–79 Bundesliga","12","Borussia Dortmund","31","34","10","11","13","54","70"
"1978–79 Bundesliga","13","MSV Duisburg","30","34","12","6","16","43","56"
"1978–79 Bundesliga","14","Hertha BSC","29","34","9","11","14","40","50"
"1978–79 Bundesliga","15","Schalke 04","28","34","9","10","15","55","61"
"1978–79 Bundesliga","16","Arminia Bielefeld","26","34","9","8","17","43","56"
"1978–79 Bundesliga","17","1. FC Nürnberg","24","34","8","8","18","36","67"
"1978–79 Bundesliga","18","SV Darmstadt 98","21","34","7","7","20","40","75"
"1979–80 Bundesliga","1","Bayern Munich","50","34","22","6","6","84","33"
"1979–80 Bundesliga","2","Hamburger SV","48","34","20","8","6","86","35"
"1979–80 Bundesliga","3","VfB Stuttgart","41","34","18","5","11","75","53"
"1979–80 Bundesliga","4","1. FC Kaiserslautern","41","34","17","7","10","75","53"
"1979–80 Bundesliga","5","1. FC Köln","37","34","14","9","11","72","55"
"1979–80 Bundesliga","6","Borussia Dortmund","36","34","14","8","12","64","56"
"1979–80 Bundesliga","7","Borussia Mönchengladbach","36","34","12","12","10","61","60"
"1979–80 Bundesliga","8","Schalke 04","33","34","12","9","13","40","51"
"1979–80 Bundesliga","9","Eintracht Frankfurt","32","34","15","2","17","65","61"
"1979–80 Bundesliga","10","VfL Bochum","32","34","13","6","15","41","44"
"1979–80 Bundesliga","11","Fortuna Düsseldorf","32","34","13","6","15","62","72"
"1979–80 Bundesliga","12","Bayer Leverkusen","32","34","12","8","14","45","61"
"1979–80 Bundesliga","13","1860 Munich","30","34","10","10","14","42","53"
"1979–80 Bundesliga","14","MSV Duisburg","29","34","11","7","16","43","57"
"1979–80 Bundesliga","15","Bayer 05 Uerdingen","29","34","12","5","17","43","61"
"1979–80 Bundesliga","16","Hertha BSC","29","34","11","7","16","41","61"
"1979–80 Bundesliga","17","Werder Bremen","25","34","11","3","20","52","93"
"1979–80 Bundesliga","18","Eintracht Braunschweig","20","34","6","8","20","32","64"
"1980–81 Bundesliga","1","Bayern Munich","53","34","22","9","3","89","41"
"1980–81 Bundesliga","2","Hamburger SV","49","34","21","7","6","73","43"
"1980–81 Bundesliga","3","VfB Stuttgart","46","34","19","8","7","70","44"
"1980–81 Bundesliga","4","1. FC Kaiserslautern","44","34","17","10","7","60","37"
"1980–81 Bundesliga","5","Eintracht Frankfurt","38","34","13","12","9","61","57"
"1980–81 Bundesliga","6","Borussia Mönchengladbach","37","34","15","7","12","68","64"
"1980–81 Bundesliga","7","Borussia Dortmund","35","34","13","9","12","69","59"
"1980–81 Bundesliga","8","1. FC Köln","34","34","12","10","12","54","55"
"1980–81 Bundesliga","9","VfL Bochum","33","34","9","15","10","53","45"
"1980–81 Bundesliga","10","Karlsruher SC","32","34","9","14","11","56","63"
"1980–81 Bundesliga","11","Bayer Leverkusen","30","34","10","10","14","52","53"
"1980–81 Bundesliga","12","MSV Duisburg","29","34","10","9","15","45","58"
"1980–81 Bundesliga","13","Fortuna Düsseldorf","28","34","10","8","16","57","64"
"1980–81 Bundesliga","14","1. FC Nürnberg","28","34","11","6","17","47","57"
"1980–81 Bundesliga","15","Arminia Bielefeld","26","34","10","6","18","46","65"
"1980–81 Bundesliga","16","1860 Munich","25","34","9","7","18","49","67"
"1980–81 Bundesliga","17","Schalke 04","23","34","8","7","19","43","88"
"1980–81 Bundesliga","18","Bayer 05 Uerdingen","22","34","8","6","20","47","79"
"1981–82 Bundesliga","1","Hamburger SV","48","34","18","12","4","95","45"
"1981–82 Bundesliga","2","1. FC Köln","45","34","18","9","7","72","38"
"1981–82 Bundesliga","3","Bayern Munich","43","34","20","3","11","77","56"
"1981–82 Bundesliga","4","1. FC Kaiserslautern","42","34","16","10","8","70","61"
"1981–82 Bundesliga","5","Werder Bremen","42","34","17","8","9","61","52"
"1981–82 Bundesliga","6","Borussia Dortmund","41","34","18","5","11","59","40"
"1981–82 Bundesliga","7","Borussia Mönchengladbach","40","34","15","10","9","61","51"
"1981–82 Bundesliga","8","Eintracht Frankfurt","37","34","17","3","14","83","72"
"1981–82 Bundesliga","9","VfB Stuttgart","35","34","13","9","12","62","55"
"1981–82 Bundesliga","10","VfL Bochum","32","34","12","8","14","52","51"
"1981–82 Bundesliga","11","Eintracht Braunschweig","32","34","14","4","16","61","66"
"1981–82 Bundesliga","12","Arminia Bielefeld","30","34","12","6","16","46","50"
"1981–82 Bundesliga","13","1. FC Nürnberg","28","34","11","6","17","53","72"
"1981–82 Bundesliga","14","Karlsruher SC","27","34","9","9","16","50","68"
